id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-57563-032-8,Russell,Devin,m,Eagles,10,7,6
978-1-7332535-6-7,Young,Pamela,f,Stars,9,9,10
978-1-177-84931-9,Hughes,Christopher,m,Stars,9,11,10
978-0-08-741953-7,Wolf,Joshua,m,Pathfinders,10,6,8
978-1-85915-256-0,Bean,Mark,m,Stars,10,9,11
978-0-444-47913-6,Cabrera,Scott,m,Pathfinders,7,10,12
978-1-56334-935-5,Soto,Taylor,m,Eagles,9,9,8
978-1-138-40715-2,Hess,James,m,Pathfinders,8,10,10
978-0-321-12715-0,Vargas,Cynthia,f,Stars,8,7,8
978-0-14-944281-7,Blanchard,Kelly,f,Eagles,6,10,9
978-1-113-35762-5,Maxwell,Rachel,f,Stars,6,7,10
978-1-325-06508-0,Tate,Angel,m,Pathfinders,10,10,6
978-0-917416-31-6,Glenn,Rebecca,f,Pathfinders,12,9,9
978-0-257-07169-5,Fisher,Kaitlin,f,Pathfinders,11,7,11
978-0-280-99158-8,Guzman,Andrew,m,Eagles,6,8,6
978-1-997657-59-0,Ray,Sarah,f,Stars,12,9,9
978-0-88066-420-2,Collins,Sharon,f,Stars,9,10,10
978-1-151-22725-6,Foster,Daryl,m,Pathfinders,7,9,7
978-1-81394-613-6,Sanchez,Paul,m,Eagles,10,9,12
978-0-444-44857-6,Peterson,Gloria,f,Eagles,9,10,11
978-1-7387827-5-8,Norman,Sandra,f,Stars,9,9,9
978-0-7953-9971-8,Collier,Caleb,m,Eagles,9,8,6
978-1-67982-989-5,Farmer,Michael,m,Stars,10,7,8
978-1-56165-094-1,Patton,Nicole,f,Stars,12,9,11
978-1-272-23789-9,Duncan,Dwayne,m,Pathfinders,9,6,12
978-1-965154-54-0,Clarke,Patricia,f,Stars,8,7,11
978-0-288-08318-6,Melendez,Travis,m,Eagles,10,6,7
978-0-19-713962-2,Nelson,Austin,m,Stars,8,6,6
978-1-182-18424-5,Nguyen,Juan,m,Stars,7,7,9
978-0-519-43002-4,Wilson,Brianna,f,Eagles,7,7,10
