id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-156-70464-6,Daniels,Phillip,m,Trailblazers,6,11,8
978-1-81186-365-7,Ortiz,Christian,m,Trailblazers,9,8,7
978-0-490-63631-6,Fowler,Jessica,f,Pathfinders,9,7,7
978-1-64826-566-2,Rodriguez,Thomas,m,Trailblazers,7,7,11
978-1-76389-482-2,Cooper,Isaac,m,Trailblazers,9,7,9
978-0-16-183355-6,Rodgers,Ashley,f,Pathfinders,12,9,7
978-0-16-554065-8,Oliver,Melvin,m,Pathfinders,11,7,6
978-0-910296-99-1,Coleman,Raymond,m,Rangers,7,9,9
978-1-972013-26-7,Keller,Danielle,f,Trailblazers,9,7,8
978-1-385-77878-4,Gonzalez,Jack,m,Trailblazers,6,9,8
978-0-607-56297-2,Mclaughlin,Vanessa,f,Trailblazers,8,7,9
978-0-313-74938-4,Walton,Travis,m,Rangers,8,6,10
978-1-256-94996-1,Myers,Allison,f,Pathfinders,9,9,7
978-0-521-32333-8,Nichols,Brian,m,Trailblazers,8,9,7
978-0-9530627-3-7,Holmes,Christopher,m,Trailblazers,11,8,6
978-0-403-00525-3,Lowery,Eric,m,Trailblazers,9,7,8
978-0-7108-6328-7,Ayala,Timothy,m,Trailblazers,9,6,10
978-0-19-021432-6,Lopez,Brian,m,Pathfinders,7,10,7
978-0-09-422138-3,Miller,Matthew,m,Pathfinders,8,11,9
978-1-324-65666-1,Roberson,Erica,f,Rangers,8,9,9
978-0-16-536350-9,Hernandez,Fernando,m,Trailblazers,6,10,10
978-1-959758-02-0,Norton,Brian,m,Trailblazers,11,8,9
978-0-684-62390-0,Reid,Melissa,f,Pathfinders,10,9,12
978-0-87095-262-3,Harris,Laura,f,Pathfinders,8,11,12
978-0-85267-771-1,Morgan,Joyce,f,Trailblazers,7,10,12
978-0-213-25164-2,Roberts,Jason,m,Rangers,9,7,6
978-0-337-66134-1,Sutton,David,m,Trailblazers,9,8,7
978-0-425-17120-2,Smith,Brian,m,Trailblazers,10,7,7
978-0-383-32504-4,Hayes,Catherine,f,Pathfinders,9,12,9
978-0-7688-4136-7,Buchanan,Jamie,f,Pathfinders,8,9,7
