id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-997092-64-3,Davis,Amanda,f,Wolves,8,9,8
978-0-09-755263-7,Lopez,Lawrence,m,Outlanders,8,7,9
978-0-18-609658-5,Brown,Vincent,m,Outlanders,10,11,11
978-0-11-802380-1,Spencer,Rebecca,f,Outlanders,6,9,10
978-0-9827680-6-8,Henderson,Shannon,f,Outlanders,7,6,6
978-0-306-91801-8,Perry,Juan,m,Wolves,8,12,7
978-1-4920-5702-4,Adams,Ryan,m,Eagles,8,12,10
978-1-5005-3013-6,Adams,Jaime,m,Eagles,9,7,9
978-0-339-74760-9,Brown,Justin,m,Eagles,8,8,9
978-1-4495-8951-6,Reed,Traci,f,Outlanders,7,12,6
978-1-62326-977-7,Schmitt,Ryan,m,Outlanders,7,10,10
978-1-9773-4279-9,Howard,Jonathan,m,Outlanders,10,6,8
978-0-580-77533-8,Smith,Ashley,f,Eagles,12,9,10
978-0-332-46864-8,Adams,Valerie,f,Wolves,6,7,9
978-1-285-43268-7,Riley,Carolyn,f,Eagles,7,10,12
978-0-933471-71-9,Hernandez,Shelby,f,Wolves,9,8,10
978-1-4715-2071-6,Chen,Patrick,m,Wolves,9,10,12
978-1-4525-7328-1,Johnson,Rose,f,Wolves,6,9,12
978-1-60495-847-8,Anthony,Peter,m,Eagles,9,11,9
978-1-85697-851-4,Thomas,Christopher,m,Wolves,9,9,10
978-1-4411-0982-8,Mason,Miguel,m,Eagles,10,9,8
978-0-430-50302-9,Conrad,Courtney,f,Outlanders,9,9,8
978-1-08-065885-5,Hayden,Melissa,f,Outlanders,8,7,9
978-0-04-307522-7,Alvarez,Michael,m,Wolves,8,9,10
978-1-81493-056-1,Fox,Frank,m,Wolves,11,6,12
978-0-905099-52-1,Moore,Randall,m,Outlanders,10,8,10
978-1-5448-8049-5,Green,Kelly,m,Wolves,7,7,10
978-1-100-20857-2,Young,Diane,f,Outlanders,9,8,12
978-0-8378-2426-0,Oliver,Heather,f,Wolves,8,10,9
978-1-4022-2353-2,Alvarez,Kathleen,f,Wolves,9,12,12
