id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-695-31582-5,Davies,Brett,m,Outlanders,10,9,9
978-1-992270-25-1,Sherman,David,m,Trailblazers,9,9,9
978-0-08-796507-2,Blanchard,Larry,m,Trailblazers,9,7,7
978-0-674-05491-2,Edwards,Melissa,f,Trailblazers,11,7,12
978-0-911198-57-7,Velazquez,Anthony,m,Trailblazers,8,8,8
978-0-7131-4508-3,Clark,Stephanie,f,Outlanders,10,12,9
978-1-4800-3693-2,Juarez,Ronald,m,Outlanders,11,11,7
978-0-7355-7468-7,Washington,Nathan,m,Outlanders,6,12,12
978-0-505-19797-9,Curry,Hannah,f,Trailblazers,7,10,11
978-0-668-54790-1,Reynolds,Hannah,f,Outlanders,7,9,8
978-1-64181-121-7,Jacobson,Jessica,f,Outlanders,10,8,12
978-0-88835-307-8,Farrell,Samuel,m,Outlanders,7,10,6
978-1-395-99494-5,Andrews,Billy,m,Eagles,11,10,11
978-0-9685482-5-7,White,Austin,m,Eagles,6,9,8
978-1-5476-4162-8,Richardson,Randall,m,Trailblazers,9,12,10
978-0-09-084159-2,Combs,Luis,m,Outlanders,8,7,12
978-0-339-79753-6,Austin,Sydney,f,Outlanders,11,12,7
978-0-89200-790-5,Swanson,Troy,m,Trailblazers,10,6,9
978-0-08-587504-5,Landry,Jessica,f,Outlanders,12,6,9
978-1-05-006801-1,West,Stephen,m,Outlanders,10,10,8
978-0-11-074505-3,Morgan,Robert,m,Trailblazers,7,10,7
978-0-229-68026-9,Baker,Austin,m,Eagles,12,8,11
978-0-636-18624-8,Newman,Anthony,m,Trailblazers,12,9,8
978-1-55843-708-1,Knight,John,m,Trailblazers,8,9,12
978-1-00-310750-7,Wilson,Tyler,m,Trailblazers,8,10,8
978-0-01-989611-5,Thompson,Isaac,m,Outlanders,6,8,9
978-0-7813-9521-2,Castro,Rebecca,f,Trailblazers,9,10,8
978-1-4824-6745-1,Webb,Mary,f,Trailblazers,10,9,11
978-1-63345-823-9,Johnson,Carla,f,Trailblazers,10,9,12
978-1-77604-986-8,Edwards,Michelle,f,Eagles,10,10,10
