id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-676-30329-2,Krause,Alexis,f,Otters,6,7,6
978-0-09-135278-3,Campbell,Douglas,m,Otters,11,10,8
978-0-575-70339-1,Vega,John,m,Otters,6,8,10
978-0-04-856103-9,Castaneda,Sandra,f,Meteors,12,10,9
978-1-07-909321-6,Harris,Tony,m,Meteors,7,8,9
978-1-85849-061-8,Kline,Bryan,m,Otters,7,8,9
978-1-01-086222-2,Curry,Edgar,m,Meteors,8,8,8
978-1-210-99726-7,Charles,Kristopher,m,Comets,10,8,12
978-1-71442-358-3,Riggs,Stephen,m,Otters,7,9,8
978-0-7928-0678-3,Green,John,m,Meteors,9,9,12
978-0-655-25197-2,Cox,Brian,m,Comets,6,10,9
978-0-01-650393-1,Johnson,Carrie,f,Meteors,10,10,9
978-0-435-14782-2,Thornton,Joseph,m,Comets,9,8,7
978-1-365-45658-9,Lowe,Amy,f,Otters,10,10,9
978-0-7853-6411-5,Reed,Michelle,f,Otters,9,9,9
978-1-300-03598-5,Gutierrez,Lisa,f,Otters,11,7,7
978-0-7041-3120-0,Thompson,Caleb,m,Otters,8,7,12
978-1-5285-2808-5,Garcia,Michael,m,Meteors,8,10,11
978-0-314-79523-6,Vazquez,Allison,f,Comets,10,7,12
978-0-464-43610-2,Chapman,Thomas,m,Otters,10,12,12
978-0-05-381319-2,Jones,Jessica,f,Meteors,10,9,9
978-0-306-12982-7,Campos,Molly,f,Otters,8,11,10
978-0-7246-9114-2,Tanner,Keith,m,Comets,10,6,7
978-0-272-11445-2,Smith,Melissa,f,Meteors,6,7,7
978-0-87568-566-3,George,Chad,m,Comets,9,7,12
978-0-14-573380-3,Rivera,Justin,m,Otters,12,9,9
978-1-77640-030-0,Robinson,Ronald,m,Meteors,12,7,7
978-1-209-98943-3,Salas,Sean,m,Comets,7,9,6
978-1-168-75151-5,Gray,Anthony,m,Comets,7,7,7
978-0-10-723439-3,Phillips,Shawn,m,Meteors,11,11,6
