id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-84317-434-9,Walker,Amanda,f,Stars,10,8,12
978-0-932803-14-6,Andrews,Tony,m,Stars,7,11,7
978-0-292-60369-1,Hill,Mark,m,Hawks,6,10,9
978-0-7715-7617-1,Taylor,Cody,m,Hawks,7,11,11
978-1-934979-72-3,Taylor,William,m,Hawks,6,9,7
978-1-9860-7041-6,Hunt,Katrina,f,Hawks,7,9,10
978-1-5362-0172-7,Eaton,Dana,f,Stars,10,6,8
978-0-02-370278-5,Garcia,Michael,m,Stars,11,9,10
978-1-70916-085-1,Meyer,Veronica,f,Stars,8,7,9
978-0-06-037135-7,Ball,Elizabeth,f,Otters,8,9,8
978-0-7889-9784-6,Romero,Kimberly,f,Hawks,9,9,8
978-0-16-689795-9,Phillips,David,m,Otters,10,9,10
978-0-936851-46-4,Lam,Sean,m,Stars,9,7,7
978-1-188-02879-6,Schmidt,Maria,f,Hawks,7,10,9
978-0-203-36823-7,Johnson,Alexis,f,Otters,7,9,7
978-0-368-34150-2,Peterson,Richard,m,Otters,12,9,8
978-1-05-166763-3,Franklin,Jennifer,f,Hawks,6,9,10
978-0-268-82580-5,Mitchell,Amanda,f,Stars,7,11,9
978-1-61830-452-0,Thompson,Lisa,f,Hawks,9,7,12
978-1-114-54718-6,Davis,Timothy,m,Otters,6,7,7
978-0-481-15745-5,Miller,Nicholas,m,Otters,8,9,11
978-0-8002-0107-4,Moore,Jason,m,Otters,9,9,9
978-0-12-515053-8,Wolfe,Angela,f,Stars,7,8,10
978-1-4032-5205-0,Andersen,Chelsea,f,Stars,10,9,12
978-0-03-838466-2,Velez,Bradley,m,Stars,7,9,9
978-1-05-770164-5,Koch,Ashley,f,Stars,10,7,8
978-0-7998-7942-1,Small,Amber,f,Otters,9,9,9
978-1-71380-770-4,Salas,Kimberly,f,Otters,9,6,7
978-1-74182-356-1,Branch,Julie,f,Otters,7,10,10
978-0-18-029882-4,Mills,Paula,f,Stars,10,8,6
