id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-288-66901-4,Lawson,Tara,f,Meteors,7,12,10
978-0-7789-0699-5,Nelson,Jade,f,Comets,9,9,7
978-0-16-034209-7,Johnson,Paul,m,Comets,7,11,7
978-0-15-181141-0,Smith,George,m,Comets,11,8,7
978-1-08-058644-8,Flores,Robert,m,Meteors,6,9,10
978-0-7197-1468-9,Phillips,Richard,m,Otters,11,8,10
978-1-396-75728-0,Page,Leslie,f,Otters,9,8,6
978-1-152-26015-3,Alexander,Leslie,f,Meteors,8,9,9
978-1-62357-149-8,Hamilton,Marcus,m,Meteors,9,7,10
978-1-69426-715-3,Jackson,Michael,m,Otters,9,9,12
978-0-430-36465-1,Thompson,Christopher,m,Comets,6,6,9
978-1-872395-06-7,Jones,Tyler,m,Otters,10,9,9
978-1-07-340273-1,Ortiz,Elizabeth,f,Comets,7,10,9
978-1-4378-7033-6,Chaney,Peter,m,Otters,11,7,12
978-0-8309-0278-1,Herrera,Michelle,f,Meteors,9,10,8
978-1-67889-370-5,Bullock,Kevin,m,Otters,10,9,8
978-1-78548-095-9,Olson,Troy,m,Otters,6,9,8
978-1-5243-6273-7,Ray,Joshua,m,Meteors,7,9,6
978-0-690-65132-4,Welch,Jesus,m,Otters,9,8,7
978-1-64256-268-2,Pitts,Paul,m,Meteors,7,7,7
978-0-240-35392-0,Brown,Christian,m,Otters,10,10,8
978-1-64899-933-8,Mcpherson,James,m,Meteors,8,9,11
978-0-14-204748-4,Trevino,Chad,m,Meteors,7,6,7
978-1-59234-996-8,Holland,Brandon,m,Comets,9,12,6
978-0-89509-735-4,Gonzalez,Christina,f,Comets,10,10,12
978-1-04-640783-1,Miller,Jessica,f,Meteors,10,8,9
978-0-05-309052-4,Smith,Robert,m,Otters,7,8,9
978-1-77875-406-7,Kim,Amanda,f,Otters,8,12,9
978-1-56019-128-5,Vazquez,Douglas,m,Comets,11,9,7
978-1-9874-1266-6,Davis,Charles,m,Meteors,7,10,9
