id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-270-44161-1,George,Allison,f,Comets,9,11,9
978-0-386-90620-2,Turner,Heather,f,Comets,10,6,12
978-1-58153-188-6,Lewis,Brooke,f,Stars,9,8,10
978-1-80205-534-4,Bell,Susan,f,Stars,9,7,10
978-1-212-03967-5,Orozco,Valerie,f,Stars,7,10,10
978-0-409-97336-5,Young,Eric,m,Adventurers,9,7,10
978-0-643-57260-7,Phelps,Tanya,f,Adventurers,7,7,7
978-1-5256-7036-7,Hernandez,Courtney,f,Comets,10,7,7
978-1-02-986209-1,Grant,Ana,f,Comets,8,9,9
978-0-391-72285-9,Orozco,Michael,m,Stars,9,10,9
978-0-88053-448-2,Scott,Michelle,f,Adventurers,7,9,7
978-1-7396952-4-8,Waters,Cody,m,Stars,10,8,9
978-1-128-69352-7,Livingston,Julia,f,Comets,9,6,9
978-0-345-01493-1,Bell,Christina,f,Comets,6,8,11
978-1-288-42647-8,Morales,Kristin,f,Stars,10,7,6
978-1-299-00790-1,Schmitt,Jennifer,f,Stars,9,9,6
978-1-4770-9569-0,Henry,Jessica,f,Stars,11,9,7
978-0-219-90544-0,Macias,Kelsey,f,Stars,6,8,7
978-0-14-048574-5,Hicks,Maria,f,Adventurers,7,10,12
978-0-377-06519-2,Oliver,Jeanne,f,Comets,7,8,11
978-1-4168-0317-1,Castaneda,Charles,m,Adventurers,9,9,6
978-1-883990-77-0,Christensen,William,m,Adventurers,9,10,8
978-0-9905381-2-7,Randolph,Valerie,f,Comets,11,8,7
978-1-177-52909-9,Chen,Michael,m,Adventurers,7,7,7
978-0-87055-844-3,Stanley,Michael,m,Stars,9,6,7
978-0-678-78233-0,Williams,Michele,f,Comets,6,9,9
978-1-922494-08-5,White,Randall,m,Comets,12,7,7
978-0-376-65889-0,Vazquez,Meghan,f,Stars,9,9,8
978-0-7695-8514-7,Hill,Alexandra,f,Stars,11,7,12
978-0-327-55759-3,Wallace,Sharon,f,Comets,8,12,8
