id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-606-57312-2,Ryan,Nicholas,m,Adventurers,7,9,9
978-1-61207-964-6,Carpenter,Brandon,m,Adventurers,10,9,10
978-0-8416-1992-0,Ryan,Evan,m,Hawks,10,10,10
978-1-62177-603-1,Martinez,Sandra,f,Hawks,9,9,6
978-0-9908041-5-4,Padilla,Kayla,f,Adventurers,7,9,9
978-0-242-40155-1,Shaw,Fernando,m,Adventurers,8,10,8
978-0-554-62165-4,Miller,David,m,Hawks,9,10,7
978-1-364-13519-5,Arnold,Angela,f,Explorers,9,10,7
978-1-06-626247-2,Roberts,Gregory,m,Hawks,9,9,9
978-0-7243-4177-1,Jefferson,Pedro,m,Adventurers,9,6,11
978-0-03-771510-8,Cook,David,m,Adventurers,9,7,11
978-1-389-83516-2,Hall,Carl,m,Explorers,11,12,10
978-1-397-02492-3,Jackson,Kevin,m,Adventurers,10,11,9
978-0-8194-9869-4,Arnold,Matthew,m,Explorers,10,9,11
978-0-8204-7185-3,Guzman,Luis,m,Hawks,7,8,10
978-1-215-97688-5,Hoover,Steven,m,Hawks,7,9,10
978-1-153-81805-6,Holloway,Scott,m,Hawks,6,10,12
978-0-623-28795-8,Hicks,Steven,m,Explorers,8,10,8
978-0-355-21359-1,Brown,Alexis,f,Hawks,8,9,10
978-0-9839071-9-0,Kim,Daniel,m,Hawks,9,9,7
978-0-260-20097-6,Parker,Geoffrey,m,Adventurers,9,9,9
978-1-86954-027-2,Thomas,Tanner,m,Explorers,9,10,10
978-1-77371-914-6,Vasquez,Jessica,f,Explorers,11,9,12
978-1-4547-2468-1,Saunders,Brittany,f,Explorers,11,6,7
978-0-606-88865-3,Wong,Kevin,m,Adventurers,7,7,10
978-0-12-297083-2,Scott,Jessica,f,Hawks,8,8,7
978-0-02-831416-7,Thompson,John,m,Explorers,12,9,10
978-0-615-45561-7,Frazier,John,m,Hawks,9,8,10
978-0-14-553193-5,Lee,Melissa,f,Hawks,12,7,9
978-0-378-66232-1,Robinson,Gregory,m,Adventurers,8,9,12
