id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-338-13265-6,Norris,Mary,f,Pathfinders,8,8,12
978-0-586-89001-1,Perez,Nicole,f,Explorers,12,10,9
978-0-18-190532-5,Garcia,Wesley,m,Trailblazers,9,9,9
978-1-213-46735-4,Johnson,Tracy,m,Pathfinders,12,8,7
978-1-74794-600-4,White,Julia,f,Trailblazers,9,8,10
978-1-69387-799-5,Allison,Zachary,m,Pathfinders,6,9,12
978-1-78057-510-0,Martin,Laura,f,Trailblazers,11,10,10
978-1-07-019793-7,Edwards,Donna,f,Explorers,8,9,11
978-0-656-34505-2,Flores,Dylan,m,Pathfinders,9,10,9
978-0-646-94029-8,Medina,Mark,m,Explorers,9,12,12
978-0-8126-4796-9,Bates,Amy,f,Pathfinders,9,7,8
978-0-01-504657-6,Alvarez,Sherry,f,Pathfinders,7,9,11
978-0-05-226400-1,Callahan,Pamela,f,Trailblazers,9,7,6
978-1-4810-3961-1,Smith,Kyle,m,Explorers,8,9,7
978-0-611-94805-2,Miller,Kim,f,Trailblazers,7,12,9
978-0-392-61083-4,Miller,Jessica,f,Pathfinders,11,9,7
978-1-334-75278-0,Jones,Kristen,f,Trailblazers,6,8,8
978-1-59990-310-1,Gaines,Virginia,f,Explorers,8,9,8
978-0-03-217571-6,Valenzuela,Howard,m,Pathfinders,6,8,8
978-0-318-36862-7,Taylor,Patricia,f,Trailblazers,10,6,7
978-1-04-119388-3,Maxwell,Madison,f,Pathfinders,10,10,9
978-1-4093-6610-2,Lopez,Jessica,f,Explorers,12,8,12
978-1-01-827859-9,Stevens,Sherry,f,Explorers,8,7,7
978-0-8280-4760-9,Williams,Debra,f,Explorers,7,8,9
978-1-948813-98-3,Turner,Maria,f,Trailblazers,10,9,7
978-1-60199-105-8,Olsen,Jennifer,f,Pathfinders,9,12,6
978-0-315-18059-8,Perry,Marcus,m,Trailblazers,9,7,7
978-0-542-21436-3,Collins,Michaela,f,Explorers,9,9,9
978-0-7948-1000-9,Clarke,Steven,m,Pathfinders,7,10,9
978-1-262-53597-4,Ross,Charles,m,Pathfinders,7,7,7
