id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-568-22783-5,Jensen,Lori,f,Outlanders,6,6,8
978-0-610-28170-9,Mueller,Jeremy,m,Rangers,8,9,12
978-1-157-45168-6,Myers,Stacy,f,Trailblazers,7,11,11
978-1-379-55983-2,Perkins,Amy,f,Trailblazers,7,7,9
978-0-208-05029-8,Rodriguez,Alex,m,Rangers,10,7,9
978-1-4720-8784-3,Hernandez,Steven,m,Rangers,10,10,12
978-0-347-98580-2,Davis,Steven,m,Outlanders,8,8,9
978-0-547-43611-1,Foster,Timothy,m,Outlanders,9,7,6
978-0-201-84357-6,Buck,Taylor,f,Trailblazers,8,9,7
978-1-217-12607-3,Ross,Vanessa,f,Rangers,8,12,9
978-0-233-79179-1,Gomez,Charles,m,Rangers,9,12,6
978-0-15-050476-4,Carpenter,Bradley,m,Rangers,9,10,7
978-1-02-944724-3,Powell,Tracy,f,Outlanders,10,12,9
978-1-964016-36-8,Moran,Richard,m,Trailblazers,7,9,8
978-1-238-55639-2,Villa,Joseph,m,Trailblazers,8,8,11
978-1-61714-936-8,Massey,Russell,m,Rangers,7,6,9
978-1-81828-006-8,Taylor,Adrian,m,Outlanders,9,6,7
978-1-00-213897-7,Rosales,Maria,f,Rangers,8,9,9
978-1-70827-468-9,Austin,Eric,m,Rangers,8,7,10
978-1-209-03442-3,Newman,Theresa,f,Trailblazers,10,7,10
978-0-672-73246-1,Thomas,Calvin,m,Outlanders,12,12,10
978-0-08-069941-7,Patel,Danielle,f,Outlanders,9,12,10
978-1-247-08574-6,Brown,Christopher,m,Trailblazers,11,9,12
978-1-299-04211-7,Wells,Cindy,f,Rangers,9,9,12
978-1-151-32233-3,Farley,James,m,Outlanders,7,7,9
978-1-79809-842-4,Watson,Michelle,f,Outlanders,7,10,6
978-0-7307-8527-9,Johnson,Heidi,f,Trailblazers,8,7,10
978-0-441-39084-7,Moore,Stacy,f,Outlanders,7,7,8
978-0-9834990-5-3,Morris,Ronnie,m,Outlanders,8,9,7
978-0-503-20122-7,Olson,Kayla,f,Outlanders,7,6,7
