id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-19-534286-4,Jackson,Jon,m,Bears,7,10,8
978-1-262-15732-9,Torres,Tammy,f,Otters,9,6,9
978-0-451-50696-2,Brock,Christopher,m,Bears,10,9,10
978-1-62401-386-7,Williams,Alejandro,m,Otters,8,7,8
978-1-80797-928-7,Maxwell,Eric,m,Bears,12,9,7
978-0-327-81741-3,Anderson,Selena,f,Stars,8,7,8
978-0-394-56833-1,Griffin,Paul,m,Stars,9,9,10
978-1-100-02810-1,Ramirez,Michael,m,Bears,7,8,8
978-0-373-88764-4,Allen,Jason,m,Bears,9,9,10
978-1-278-82783-4,Mercer,Donald,m,Otters,12,8,9
978-1-01-422005-9,Jones,Joseph,m,Stars,7,9,6
978-0-377-78190-0,Heath,Alicia,f,Stars,8,9,12
978-1-66956-951-0,Romero,Willie,m,Bears,11,11,11
978-0-7948-1809-8,Bauer,Ashley,f,Stars,9,8,7
978-1-82170-038-6,Henry,Erin,f,Otters,12,9,7
978-1-248-37368-2,Porter,Scott,m,Otters,8,11,7
978-1-08-914713-8,Butler,David,m,Otters,9,7,9
978-0-7159-9529-7,Pena,Matthew,m,Bears,7,6,9
978-1-174-76526-1,Hanson,Denise,f,Bears,7,12,10
978-1-82890-402-2,Johnston,Cynthia,f,Otters,8,8,7
978-1-323-56735-7,Key,Rebekah,f,Bears,7,8,7
978-0-85612-753-3,Stout,Mary,f,Otters,12,9,10
978-0-406-99289-5,Austin,Timothy,m,Stars,8,10,11
978-0-9590592-0-5,Blake,Amy,f,Otters,7,7,9
978-1-376-03824-8,Martinez,Gregory,m,Otters,6,7,8
978-0-500-34106-3,Jenkins,Richard,m,Stars,9,12,10
978-1-151-43623-8,Walker,Morgan,f,Stars,7,9,9
978-0-8179-7658-3,Fox,Karla,f,Stars,9,12,7
978-0-688-61870-4,Bennett,Susan,f,Bears,9,7,7
978-0-7557-6200-2,Turner,Sabrina,f,Bears,7,11,8
