id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-917169-19-9,Rodriguez,Diana,f,Rangers,8,11,10
978-1-240-88478-0,Hudson,Tanya,f,Otters,10,8,9
978-1-167-26548-8,Brown,Janet,f,Hawks,8,12,9
978-0-216-92001-9,French,Jeremy,m,Otters,6,7,12
978-0-361-61256-2,Gonzalez,Edward,m,Rangers,10,9,11
978-1-60769-517-2,Rojas,Christina,f,Otters,11,9,6
978-0-19-617896-7,Jordan,Eric,m,Rangers,12,7,9
978-1-59089-787-4,Miller,Shelby,f,Rangers,10,9,11
978-0-377-18318-6,Pierce,Leslie,f,Otters,7,6,10
978-0-14-355958-0,Savage,Brenda,f,Hawks,11,10,11
978-0-571-62385-3,Fritz,Christopher,m,Otters,7,7,7
978-1-319-86526-9,Perez,Sharon,f,Hawks,9,8,9
978-0-946292-75-2,Bright,Jessica,f,Hawks,7,7,11
978-1-4057-0721-3,Black,Maria,f,Rangers,7,9,7
978-1-75754-760-4,Stokes,Louis,m,Hawks,8,7,7
978-1-76145-747-0,Wilson,Edward,m,Rangers,7,7,11
978-1-365-88031-5,Greene,Paula,f,Otters,8,9,9
978-0-244-83298-8,Gonzalez,Darryl,m,Rangers,6,6,9
978-1-345-54890-7,Smith,Joseph,m,Otters,9,9,9
978-1-82160-856-9,Stephens,Nicole,f,Otters,9,10,10
978-1-69958-079-0,Smith,Joy,f,Hawks,10,10,8
978-0-441-30711-1,Hunt,Thomas,m,Rangers,9,10,10
978-1-152-14803-1,Espinoza,Amber,f,Hawks,10,10,10
978-1-08-278358-6,Nguyen,Brooke,f,Otters,7,7,9
978-0-610-51263-6,Diaz,Lynn,f,Otters,12,9,9
978-0-8056-1076-5,Flynn,Timothy,m,Hawks,8,9,7
978-0-235-63744-8,Nelson,Nicholas,m,Hawks,7,6,10
978-0-9771483-7-0,Johnson,Michael,m,Otters,6,9,10
978-1-76060-437-0,Roth,Samuel,m,Rangers,9,10,10
978-0-206-36759-6,Garrett,Jeffrey,m,Otters,7,10,10
