id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-07-726092-7,Hays,Jeanne,f,Outlanders,8,10,8
978-0-519-61483-7,Wallace,Teresa,f,Outlanders,10,11,11
978-1-926872-45-2,Gonzalez,Sarah,f,Outlanders,9,9,11
978-0-923413-09-5,Henry,Nancy,f,Outlanders,10,9,9
978-0-9903966-3-5,Leon,Donald,m,Pathfinders,8,8,9
978-0-526-32027-1,Johnson,Travis,m,Pathfinders,9,10,12
978-0-8286-5325-1,Jacobs,Anthony,m,Pathfinders,10,6,9
978-1-4811-3584-9,Turner,Donald,m,Outlanders,7,6,9
978-0-8358-7545-5,Williams,Mark,m,Rangers,10,8,12
978-1-83173-333-6,Banks,Kristi,f,Rangers,8,10,10
978-0-366-64696-8,Mata,Connor,m,Outlanders,9,7,12
978-0-227-83067-3,Chambers,Kurt,m,Outlanders,8,7,9
978-1-83637-352-0,Hill,Joshua,m,Rangers,6,7,8
978-0-05-810511-7,Rasmussen,Danielle,f,Pathfinders,8,9,12
978-1-67163-028-4,Diaz,Eric,m,Outlanders,7,9,9
978-1-80372-644-1,Cook,Kim,f,Outlanders,8,9,11
978-0-9621902-9-2,Thompson,Angela,f,Outlanders,10,7,10
978-1-272-92279-5,Hubbard,Mark,m,Pathfinders,10,10,9
978-0-87415-068-1,Sampson,Anne,f,Pathfinders,6,9,11
978-1-06-708576-6,Perez,Ashley,f,Rangers,8,9,9
978-0-411-02182-5,Sutton,Austin,m,Outlanders,9,12,8
978-0-7323-5339-1,Pace,Ashley,f,Outlanders,7,8,7
978-1-59707-946-4,Edwards,Jorge,m,Rangers,8,8,7
978-0-553-14341-6,Miller,Melissa,f,Pathfinders,7,7,9
978-0-369-97168-5,Martinez,Gary,m,Pathfinders,7,9,7
978-1-00-673157-0,Townsend,Mercedes,f,Outlanders,11,11,6
978-1-103-70594-8,Martinez,Ernest,m,Pathfinders,10,9,9
978-1-105-33668-3,Robertson,Christine,f,Pathfinders,8,9,12
978-0-357-60194-5,Mills,Hailey,f,Rangers,6,6,9
978-1-82347-231-1,Roberts,Angela,f,Pathfinders,9,12,7
