id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-693-92687-0,Hodges,Jennifer,f,Comets,11,8,12
978-1-7370670-9-2,Flores,Meagan,f,Comets,10,8,9
978-1-5042-8145-4,Collier,Michael,m,Rangers,9,7,9
978-0-7048-1826-2,Cox,Joshua,m,Comets,6,9,12
978-1-923169-17-3,Hart,Scott,m,Comets,10,9,10
978-0-218-55677-3,Paul,Elizabeth,f,Comets,7,9,8
978-1-04-410149-6,Wagner,Robert,m,Otters,9,8,10
978-0-8231-6276-5,Soto,Katherine,f,Comets,12,9,7
978-1-5455-5716-7,Escobar,Thomas,m,Comets,10,10,8
978-1-7329751-6-3,Strong,Brenda,f,Comets,7,10,11
978-0-500-38551-7,Garrett,Samantha,f,Otters,8,6,9
978-1-57627-974-8,Herrera,Randall,m,Rangers,12,10,10
978-1-62517-385-0,Moore,Neil,m,Rangers,9,9,9
978-0-7862-8536-5,Crawford,Michelle,f,Otters,9,7,7
978-1-04-649705-4,Williams,Zoe,f,Rangers,9,12,10
978-0-448-38725-3,Mendoza,Gail,f,Rangers,9,9,8
978-0-368-25225-9,Barber,Tyler,m,Otters,6,7,10
978-1-318-36810-5,Taylor,Kimberly,f,Comets,7,7,11
978-0-8345-3125-3,Bush,Jared,m,Rangers,8,8,10
978-1-376-75647-0,Lawson,Kevin,m,Rangers,9,8,7
978-0-545-41485-2,Olson,Patricia,f,Rangers,10,7,6
978-0-297-51604-0,Rogers,David,m,Otters,9,7,12
978-0-7762-2106-9,Thomas,Andrew,m,Otters,7,9,7
978-1-56843-834-4,Lopez,Ethan,m,Rangers,9,6,8
978-0-7186-7342-0,Holmes,Susan,f,Comets,12,8,8
978-1-138-61469-7,Myers,Stephanie,f,Comets,10,9,9
978-0-7560-8181-2,Patel,Todd,m,Rangers,9,9,9
978-0-16-125242-5,Bennett,Frank,m,Otters,9,12,12
978-0-649-17796-7,Diaz,Alan,m,Otters,10,8,10
978-1-114-69938-0,Garcia,David,m,Otters,7,12,7
