id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-9786-8263-4,Harris,Isabel,f,Wolves,9,9,7
978-1-132-72925-0,Holmes,Shelby,f,Hawks,7,10,10
978-1-08-258941-6,Jackson,Amy,f,Hawks,11,8,6
978-1-4487-9241-2,Jackson,Brandon,m,Wolves,10,8,9
978-1-889120-40-9,Hampton,Howard,m,Wolves,8,7,8
978-0-9739363-8-4,Glass,Ashley,f,Wolves,6,8,9
978-0-8154-4679-8,Robles,Theresa,f,Wolves,7,9,7
978-1-9741-1015-5,Henry,Donald,m,Rangers,10,8,10
978-0-9666557-2-8,Jones,Paul,m,Rangers,8,7,9
978-0-7610-9275-9,Cabrera,David,m,Rangers,9,9,8
978-1-386-22275-0,Wells,Daniel,m,Wolves,8,9,12
978-0-8320-5279-8,Jones,Brenda,f,Wolves,7,7,8
978-0-89998-695-1,Rodriguez,Laura,f,Wolves,9,12,7
978-0-9950036-6-8,Peterson,Alison,f,Hawks,10,8,10
978-0-352-54717-0,Allen,Joe,m,Wolves,6,9,12
978-1-60655-538-5,Palmer,Jessica,f,Wolves,9,8,6
978-1-67928-383-3,Park,Peter,m,Rangers,9,12,10
978-0-7837-5651-6,Baldwin,William,m,Rangers,7,6,10
978-1-4208-6703-9,Foster,Elizabeth,f,Wolves,11,9,11
978-0-919854-41-3,Johnson,Scott,m,Hawks,7,9,8
978-1-4762-6422-6,Russell,Kristen,f,Rangers,9,12,9
978-1-05-652243-2,Williams,Krista,f,Hawks,9,9,9
978-0-8260-9146-8,Bond,Julie,f,Rangers,10,9,10
978-0-385-31377-3,Wilson,John,m,Hawks,8,7,8
978-0-477-89057-1,Vang,Antonio,m,Wolves,11,9,8
978-1-7398063-0-9,Sanchez,Travis,m,Hawks,10,8,7
978-1-81930-471-8,Stewart,Howard,m,Rangers,6,12,8
978-1-55376-236-2,Diaz,Mackenzie,f,Rangers,8,9,10
978-0-662-16677-1,Hardy,Tyler,m,Hawks,6,9,9
978-1-66307-533-8,Davis,Suzanne,f,Wolves,9,9,6
