id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-399-06448-4,Black,Angela,f,Otters,7,11,10
978-1-4862-2355-8,Hayden,Charles,m,Outlanders,10,7,12
978-0-292-94117-5,King,John,m,Outlanders,12,8,7
978-1-951903-39-8,Nelson,Kenneth,m,Otters,8,9,10
978-1-896935-49-2,Coleman,April,f,Otters,10,12,10
978-0-913768-74-7,Miller,Barbara,f,Outlanders,10,9,9
978-0-02-784803-8,Martin,Laura,f,Otters,9,11,6
978-1-133-68627-9,Garcia,Michael,m,Otters,7,9,8
978-0-546-31752-7,Gray,Jamie,f,Outlanders,11,10,9
978-1-287-40024-0,Whitaker,Ellen,f,Bears,12,10,8
978-0-09-546514-4,Lopez,Joyce,f,Otters,10,11,7
978-0-15-735445-4,Smith,Katherine,f,Bears,9,10,12
978-1-59976-678-2,Levy,Robert,m,Bears,9,8,11
978-1-345-63760-1,White,Dave,m,Otters,8,10,10
978-1-341-86054-6,Wells,Michelle,f,Otters,12,8,8
978-0-568-21367-8,Morris,Rhonda,f,Outlanders,6,10,9
978-1-03-063431-1,Rose,Jeffery,m,Outlanders,11,9,10
978-1-116-20305-9,Parker,Jerry,m,Outlanders,9,10,9
978-1-4593-0498-7,Hanson,Lori,f,Otters,9,11,11
978-0-7228-9390-6,Nguyen,Jacqueline,f,Otters,9,9,8
978-0-7773-1906-2,Wallace,Edward,m,Otters,9,7,9
978-1-9856-0207-6,Williams,Jamie,f,Outlanders,11,6,10
978-0-7316-8864-7,Anderson,Marcus,m,Otters,7,7,7
978-0-9552716-9-4,Nunez,Holly,f,Otters,11,10,9
978-0-478-49310-8,Ortega,Jessica,f,Otters,10,11,9
978-1-80702-626-4,Johnson,Katie,f,Bears,8,9,7
978-0-9889482-6-6,Conley,Gregory,m,Otters,9,10,6
978-0-88388-520-8,Chavez,Michelle,f,Outlanders,8,10,7
978-1-58111-720-2,Berry,Michael,m,Bears,9,7,6
978-0-7394-3494-9,Raymond,Anthony,m,Outlanders,8,6,8
