id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-196-62912-1,Archer,Shannon,f,Eagles,10,9,9
978-1-911100-67-6,Martin,Robin,f,Eagles,10,10,7
978-1-65621-545-1,Rojas,Nichole,f,Outlanders,6,10,10
978-1-256-04366-9,Ramirez,Donna,f,Rangers,11,12,11
978-0-340-95262-7,Adkins,Maria,f,Eagles,7,10,8
978-0-8414-7973-9,Stevens,Michael,m,Eagles,7,8,10
978-1-08-516715-4,Jones,Ronald,m,Outlanders,7,11,8
978-0-10-166662-6,Sanders,Joseph,m,Eagles,9,7,11
978-1-4188-1817-3,Gray,Amanda,f,Rangers,9,9,6
978-1-83651-233-2,Smith,Larry,m,Rangers,10,9,7
978-0-7320-2725-4,Buck,Brian,m,Eagles,11,8,10
978-1-201-82064-2,Donaldson,Derek,m,Rangers,8,9,12
978-1-329-62899-1,Chan,Jared,m,Eagles,6,6,8
978-0-13-237809-3,Lopez,Kenneth,m,Rangers,10,6,12
978-1-5264-4851-4,Howell,Cassandra,f,Rangers,10,9,11
978-0-14-198241-0,Cervantes,Tonya,f,Eagles,8,12,11
978-1-63910-211-2,Moore,Catherine,f,Rangers,9,10,7
978-0-629-32864-8,Smith,Patrick,m,Eagles,10,9,7
978-0-8129-0467-3,Rice,Aaron,m,Eagles,9,9,8
978-0-222-95918-8,Rose,Michael,m,Eagles,10,8,11
978-0-9683829-5-0,Hall,Isabel,f,Eagles,8,8,7
978-0-604-05133-2,Gonzalez,Christopher,m,Rangers,12,12,11
978-0-8261-4318-1,Cruz,Jordan,f,Outlanders,9,6,12
978-0-672-80413-7,Freeman,Kim,f,Rangers,9,7,11
978-1-70380-787-5,Griffin,James,m,Outlanders,12,9,12
978-1-68125-282-7,Jordan,Jorge,m,Eagles,9,10,12
978-1-02-411614-4,Allen,Adam,m,Rangers,6,9,6
978-1-4003-7785-5,Wright,Jacob,m,Eagles,7,8,12
978-0-9861258-3-6,Espinoza,Samuel,m,Eagles,6,9,10
978-0-262-25196-9,Brown,Teresa,f,Rangers,7,9,9
