id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-68053-245-6,Gibson,Katelyn,f,Trailblazers,7,8,9
978-0-518-14323-9,Oliver,Matthew,m,Hawks,7,7,9
978-0-03-924328-9,Young,Paula,f,Trailblazers,9,6,7
978-1-82775-876-3,Garcia,Jennifer,f,Trailblazers,9,9,11
978-1-76688-642-8,Morton,Kent,m,Explorers,9,10,9
978-1-69211-342-1,Todd,Catherine,f,Hawks,9,9,6
978-0-650-65896-7,Johnson,Kara,f,Hawks,8,7,12
978-1-5285-8129-5,Garcia,Gavin,m,Hawks,12,9,8
978-0-550-93503-8,Young,Kristin,f,Trailblazers,9,10,9
978-0-231-87613-1,Erickson,Adam,m,Trailblazers,7,10,11
978-1-229-14055-5,Ferguson,Victoria,f,Explorers,7,9,8
978-0-12-924492-9,Butler,Aaron,m,Trailblazers,9,9,11
978-1-915485-60-1,Barber,Rebecca,f,Hawks,10,9,10
978-0-552-83217-5,Cohen,Kevin,m,Trailblazers,6,9,10
978-0-86997-334-9,Lynn,Richard,m,Explorers,9,11,9
978-1-925611-77-9,Carpenter,Michael,m,Explorers,12,9,6
978-1-161-79491-5,Morgan,Megan,f,Trailblazers,7,8,11
978-1-4790-6334-5,Johnson,Kevin,m,Explorers,9,10,8
978-1-01-855699-4,Bauer,Joseph,m,Explorers,10,10,6
978-1-74292-864-7,Robinson,Walter,m,Trailblazers,9,9,12
978-0-611-97334-4,Miller,Amber,f,Explorers,9,10,7
978-0-7362-6597-3,Moore,Gregory,m,Explorers,6,9,7
978-0-03-284106-2,Ellis,Robert,m,Explorers,9,10,11
978-0-564-04593-8,Rodriguez,Brianna,f,Trailblazers,8,9,8
978-0-86623-721-5,Hall,Kayla,f,Explorers,12,9,8
978-0-561-61552-3,Skinner,Andrew,m,Hawks,11,8,8
978-1-121-68760-8,Taylor,Tiffany,f,Hawks,9,9,8
978-1-03-711723-7,Hickman,Nina,f,Hawks,8,8,6
978-1-61089-675-7,Browning,Nancy,f,Explorers,9,7,9
978-0-9703255-4-9,Lopez,David,m,Hawks,9,9,6
