id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-4439-4102-0,Wade,Jasmine,f,Wolves,11,12,12
978-0-8301-8410-1,Wright,April,f,Eagles,9,7,8
978-1-5242-4290-9,Thompson,Joshua,m,Trailblazers,8,8,9
978-0-9589282-6-7,Aguilar,Lisa,f,Wolves,8,9,9
978-1-4219-2756-5,Rogers,Maria,f,Wolves,11,10,12
978-0-273-40153-7,Brewer,Steven,m,Eagles,9,8,7
978-1-79038-868-4,Gutierrez,William,m,Trailblazers,9,10,10
978-0-564-81210-3,Williams,Raymond,m,Wolves,6,11,9
978-0-388-25880-4,Nash,Susan,f,Wolves,6,7,11
978-0-603-67252-1,Pittman,Brad,m,Wolves,11,9,10
978-0-222-97749-6,Trujillo,Melissa,f,Eagles,11,9,12
978-1-74091-657-8,Bennett,Miguel,m,Trailblazers,11,6,10
978-1-389-86431-5,Baker,Michael,m,Trailblazers,8,10,11
978-1-01-985113-5,Thompson,Debbie,f,Trailblazers,6,10,11
978-1-56073-737-7,Gutierrez,Meagan,f,Trailblazers,12,6,7
978-1-268-94780-1,Mckinney,Aaron,m,Wolves,11,7,11
978-1-02-377323-2,Allen,Brittany,f,Trailblazers,9,8,10
978-1-179-48247-7,Joseph,Ashley,f,Trailblazers,8,7,10
978-0-89058-280-0,Acevedo,Kevin,m,Wolves,8,9,9
978-0-03-467745-4,Williams,Andrew,m,Wolves,7,7,11
978-0-305-75874-5,Beasley,Amber,f,Eagles,10,9,9
978-0-225-49067-1,Ward,John,m,Trailblazers,8,8,10
978-1-79464-450-2,Ward,Angela,f,Eagles,9,8,9
978-1-211-09627-3,Conway,Rebecca,f,Eagles,10,12,12
978-1-70058-906-4,Harris,Mark,m,Eagles,8,9,7
978-1-4047-1615-5,Bailey,April,f,Eagles,10,8,8
978-0-231-72138-7,Simpson,Maria,f,Wolves,7,9,10
978-0-674-32795-5,Curtis,Jennifer,f,Trailblazers,7,8,7
978-1-176-51704-2,Holmes,Cynthia,f,Wolves,12,11,6
978-1-224-10988-5,Fitzgerald,Regina,f,Trailblazers,6,12,11
