id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-261-42341-8,Roberts,Cynthia,f,Explorers,8,8,11
978-1-79500-099-4,Singh,Kristopher,m,Stars,9,12,9
978-0-340-97011-9,Walker,Janice,f,Stars,9,9,7
978-0-280-28270-9,Dunn,Teresa,f,Explorers,6,7,8
978-0-11-425183-3,Young,Jennifer,f,Explorers,10,12,7
978-0-8435-3634-8,Patrick,Brenda,f,Explorers,10,9,7
978-0-900321-64-1,Schwartz,Johnathan,m,Explorers,6,8,11
978-1-361-92023-7,Fisher,Michelle,f,Explorers,8,11,11
978-0-581-32375-0,Stevenson,Monica,f,Stars,8,9,9
978-1-01-092700-6,Allen,Shawn,m,Explorers,12,10,9
978-0-09-661716-0,Orr,Alicia,f,Bears,11,11,7
978-0-674-28137-0,Williams,Kayla,f,Stars,9,7,11
978-1-64093-942-4,Cox,Jonathan,m,Bears,8,9,9
978-0-924959-72-1,Davis,Kristin,f,Explorers,8,6,7
978-0-02-300155-0,Miller,Christopher,m,Stars,6,10,10
978-0-203-43991-3,Hall,Juan,m,Stars,9,9,10
978-1-7367571-2-3,Beck,Jessica,f,Explorers,9,12,9
978-1-03-600952-6,Beasley,Charles,m,Stars,12,9,12
978-1-72201-231-1,Castro,Melissa,f,Stars,8,9,7
978-0-7505-4026-1,Jones,Brian,m,Explorers,8,9,10
978-0-7447-0672-7,Calderon,Karen,f,Bears,9,10,12
978-0-212-87645-7,Holmes,Selena,f,Stars,9,8,11
978-1-06-367321-9,Johnson,Alvin,m,Explorers,7,8,11
978-0-7590-8281-6,Bean,Sean,m,Bears,8,7,11
978-1-5086-3559-8,Hood,Lori,f,Stars,7,7,9
978-0-273-61045-8,Bell,Jose,m,Stars,8,12,8
978-0-428-64485-7,Lowery,Melissa,f,Bears,7,11,9
978-0-530-54996-5,Gillespie,Tyler,m,Bears,10,9,8
978-1-240-93394-5,Smith,Vincent,m,Explorers,6,7,8
978-1-65705-358-8,Holder,John,m,Stars,8,6,6
