id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-1-03-908671-5,Evans,Lynn,f,Pathfinders,7,12,6
978-1-995388-47-2,Kim,Matthew,m,Trailblazers,12,9,8
978-1-66694-233-0,Boyer,David,m,Trailblazers,7,7,11
978-0-530-12137-6,Garcia,Randall,m,Pathfinders,6,7,11
978-0-421-84275-5,Turner,Andrew,m,Wolves,7,8,7
978-0-17-434603-6,Lee,Jaclyn,f,Wolves,6,9,9
978-0-89747-350-7,Moore,Michael,m,Wolves,9,7,7
978-1-150-02549-5,Lopez,Monica,f,Wolves,8,8,10
978-1-111-08426-4,Ferguson,Chelsea,f,Wolves,6,6,9
978-1-228-85226-8,Thompson,William,m,Pathfinders,6,8,10
978-0-576-08033-0,Villanueva,Damon,m,Wolves,7,6,10
978-0-7671-4325-7,Khan,Jennifer,f,Trailblazers,8,11,8
978-0-11-374003-1,Delgado,Angela,f,Wolves,9,6,7
978-0-8262-5828-1,Edwards,Adriana,f,Trailblazers,9,9,9
978-0-8255-5612-8,Silva,Claire,f,Trailblazers,7,10,8
978-1-5450-2699-1,Simpson,Eric,m,Trailblazers,7,8,10
978-0-19-747741-0,Shields,Justin,m,Pathfinders,11,8,9
978-0-573-24220-5,Villarreal,Christopher,m,Trailblazers,9,10,12
978-0-8480-4382-7,Davis,Jasmine,f,Trailblazers,9,8,11
978-1-325-38596-6,Wagner,Tracy,f,Pathfinders,9,8,7
978-0-227-49301-4,Bishop,Sarah,f,Trailblazers,8,12,11
978-1-4310-3598-4,Bauer,Joe,m,Pathfinders,12,9,10
978-0-505-98863-8,Walter,Samantha,f,Pathfinders,6,6,8
978-0-325-03169-9,Ferguson,Carl,m,Pathfinders,9,9,6
978-0-04-693874-1,Aguilar,Gary,m,Trailblazers,8,7,9
978-0-11-748291-3,Parsons,Tyler,m,Pathfinders,10,7,8
978-1-63329-561-2,Smith,Anthony,m,Wolves,10,8,9
978-0-584-24926-2,Lee,Taylor,f,Trailblazers,11,10,12
978-1-152-00239-5,Pineda,Ronald,m,Pathfinders,9,10,9
978-0-03-685776-2,Williams,Jesse,m,Trailblazers,7,10,10
