id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-274-54230-7,Martinez,Richard,m,Stars,7,7,7
978-1-994892-51-2,Butler,Anne,f,Stars,11,8,7
978-1-82101-264-9,Randall,John,m,Stars,7,8,8
978-1-64159-890-3,Torres,James,m,Adventurers,9,7,12
978-0-7504-4189-6,Maldonado,Ashley,f,Stars,9,6,9
978-1-322-12583-1,Murphy,Brooke,f,Stars,12,10,11
978-0-305-44951-3,Doyle,Holly,f,Hawks,9,6,9
978-0-925907-33-2,King,Angela,f,Stars,10,10,10
978-0-388-12161-0,Dunn,Patricia,f,Adventurers,7,9,7
978-1-4228-7250-5,Roach,Melissa,f,Hawks,8,7,9
978-0-590-00607-1,York,Dwayne,m,Stars,8,6,10
978-0-360-85574-8,Allen,Christian,m,Adventurers,12,10,10
978-1-63025-586-2,Cole,Janet,f,Stars,8,7,11
978-0-633-49945-7,Carlson,Katherine,f,Adventurers,9,9,8
978-1-374-20389-1,Melendez,Elizabeth,f,Adventurers,10,8,9
978-0-9919696-3-0,Suarez,Pamela,f,Stars,7,10,9
978-0-602-78950-3,Martinez,Brian,m,Stars,9,11,9
978-0-307-93969-2,Miller,Sarah,f,Hawks,6,9,9
978-0-14-673135-8,Elliott,Kayla,f,Adventurers,6,8,8
978-1-07-930527-2,Osborne,Michael,m,Hawks,8,10,8
978-1-61959-135-6,Andersen,Wesley,m,Hawks,10,9,9
978-1-303-35230-0,Schultz,Melissa,f,Stars,9,8,8
978-1-347-22527-1,Thompson,Jerry,m,Hawks,10,9,7
978-0-559-79139-0,Silva,Christopher,m,Hawks,8,7,10
978-1-911653-85-1,Simon,Adam,m,Adventurers,9,12,7
978-1-951961-60-2,Buchanan,Jordan,f,Stars,12,10,8
978-0-7459-3257-6,Brown,Sharon,f,Hawks,12,9,8
978-0-574-74860-7,Macdonald,Dwayne,m,Hawks,9,9,12
978-0-00-654439-5,Young,Gregory,m,Adventurers,9,11,6
978-0-15-617011-6,Jackson,Stephen,m,Hawks,7,8,8
