id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark
978-0-06-218118-3,Jones,Lisa,f,Stars,10,8,8
978-1-70663-495-9,Brown,Melissa,f,Rangers,8,7,9
978-1-75588-256-1,Bailey,Kristen,f,Eagles,10,6,9
978-0-495-19661-7,Rogers,Toni,f,Rangers,8,10,8
978-1-69709-159-5,Barry,Denise,f,Rangers,10,10,9
978-0-931745-77-5,Reed,Christopher,m,Stars,6,10,6
978-0-549-55416-5,Hood,James,m,Stars,9,10,6
978-1-121-46411-7,Massey,Denise,f,Eagles,10,9,8
978-1-85310-698-9,Ramos,Brian,m,Rangers,12,10,6
978-1-4134-6856-4,Arnold,Tracy,f,Eagles,9,11,10
978-1-58533-603-6,Dennis,Nicole,f,Rangers,9,11,7
978-1-9828-2431-0,Franklin,Beth,f,Rangers,12,7,10
978-0-941931-87-8,Stewart,Rebecca,f,Stars,11,8,8
978-0-7427-2567-6,Davis,Christopher,m,Rangers,8,7,11
978-0-19-665597-0,Dorsey,Mary,f,Stars,10,9,9
978-0-7970-1975-1,Mullen,Robert,m,Eagles,10,10,9
978-0-571-41596-0,Carter,Maria,f,Eagles,6,9,11
978-1-285-79105-0,Stephenson,Amy,f,Rangers,8,12,9
978-1-961595-00-2,Evans,Taylor,f,Stars,9,12,9
978-1-5261-4945-9,Kelley,Justin,m,Eagles,6,11,12
978-1-158-21569-0,Hernandez,Brandon,m,Eagles,8,9,10
978-0-89178-737-2,Lane,Mercedes,f,Eagles,12,10,7
978-0-217-17115-1,Wallace,Felicia,f,Eagles,9,10,10
978-0-627-68562-0,Jones,Blake,m,Eagles,9,10,10
978-1-995785-64-6,Mcintosh,Amber,f,Eagles,12,7,12
978-1-224-47262-0,Brooks,Desiree,f,Rangers,7,6,10
978-1-902722-87-0,Barber,Nancy,f,Rangers,9,9,10
978-1-142-79858-1,Holmes,Connor,m,Rangers,10,9,11
978-0-608-04513-9,Wright,Ronald,m,Eagles,9,10,8
978-1-4098-2981-2,Kidd,Elizabeth,f,Eagles,11,12,9
